word,tf,wf,di
=========,==doc_ID==,==01==,=========
prune,1,1.0,0.3779644730092272
queri,1,1.0,0.3779644730092272
evalu,1,1.0,0.3779644730092272
use,1,1.0,0.3779644730092272
pre,1,1.0,0.3779644730092272
comput,1,1.0,0.3779644730092272
impact,1,1.0,0.3779644730092272
=========,==doc_ID==,==02==,=========
impact,1,1.0,0.5
cach,1,1.0,0.5
search,1,1.0,0.5
engin,1,1.0,0.5
=========,==doc_ID==,==03==,=========
cach,1,1.0,0.4082482904638631
search,1,1.0,0.4082482904638631
engin,1,1.0,0.4082482904638631
admiss,1,1.0,0.4082482904638631
polici,1,1.0,0.4082482904638631
result,1,1.0,0.4082482904638631
=========,==doc_ID==,==04==,=========
prune,1,1.0,0.4472135954999579
static,1,1.0,0.4472135954999579
term,1,1.0,0.4472135954999579
invert,1,1.0,0.4472135954999579
file,1,1.0,0.4472135954999579
=========,==doc_ID==,==05==,=========
scalabl,1,1.0,0.4472135954999579
fulli,1,1.0,0.4472135954999579
distribut,1,1.0,0.4472135954999579
web,1,1.0,0.4472135954999579
crawler,1,1.0,0.4472135954999579
=========,==doc_ID==,==06==,=========
webgraph,1,1.0,0.5
framework,1,1.0,0.5
compress,1,1.0,0.5
techniqu,1,1.0,0.5
=========,==doc_ID==,==07==,=========
lesson,1,1.0,0.5
giant,1,1.0,0.5
scale,1,1.0,0.5
servic,1,1.0,0.5
=========,==doc_ID==,==08==,=========
scale,1,1.0,0.3779644730092272
effici,1,1.0,0.3779644730092272
vs,1,1.0,0.3779644730092272
effect,1,1.0,0.3779644730092272
terabyt,1,1.0,0.3779644730092272
inform,1,1.0,0.3779644730092272
retriev,1,1.0,0.3779644730092272
=========,==doc_ID==,==09==,=========
prune,1,1.0,0.3333333333333333
static,1,1.0,0.3333333333333333
retriev,1,1.0,0.3333333333333333
document,1,1.0,0.3333333333333333
centric,1,1.0,0.3333333333333333
approach,1,1.0,0.3333333333333333
index,1,1.0,0.3333333333333333
text,1,1.0,0.3333333333333333
system,1,1.0,0.3333333333333333
=========,==doc_ID==,==10==,=========
prune,1,1.0,0.4082482904638631
static,1,1.0,0.4082482904638631
inform,1,1.0,0.4082482904638631
retriev,1,1.0,0.4082482904638631
index,1,1.0,0.4082482904638631
system,1,1.0,0.4082482904638631
=========,==doc_ID==,==11==,=========
web,1,1.0,0.5
refer,1,1.0,0.5
collect,1,1.0,0.5
spam,1,1.0,0.5
=========,==doc_ID==,==12==,=========
queri,1,1.0,0.4472135954999579
relev,1,1.0,0.4472135954999579
weight,1,1.0,0.4472135954999579
independ,1,1.0,0.4472135954999579
evid,1,1.0,0.4472135954999579
=========,==doc_ID==,==13==,=========
prune,1,1.0,0.31622776601683794
search,1,1.0,0.31622776601683794
static,1,1.0,0.31622776601683794
web,1,1.0,0.31622776601683794
effici,1,1.0,0.31622776601683794
improv,1,1.0,0.31622776601683794
via,1,1.0,0.31622776601683794
local,1,1.0,0.31622776601683794
base,1,1.0,0.31622776601683794
method,1,1.0,0.31622776601683794
=========,==doc_ID==,==14==,=========
optim,1,1.0,0.5
aggreg,1,1.0,0.5
algorithm,1,1.0,0.5
middlewar,1,1.0,0.5
=========,==doc_ID==,==15==,=========
queri,1,1.0,0.2773500981126146
cach,1,1.0,0.2773500981126146
search,1,1.0,0.2773500981126146
engin,1,1.0,0.2773500981126146
result,1,1.0,0.2773500981126146
web,1,1.0,0.2773500981126146
boost,1,1.0,0.2773500981126146
perform,1,1.0,0.2773500981126146
prefetch,1,1.0,0.2773500981126146
exploit,1,1.0,0.2773500981126146
histor,1,1.0,0.2773500981126146
usag,1,1.0,0.2773500981126146
data,1,1.0,0.2773500981126146
=========,==doc_ID==,==16==,=========
queri,1,1.0,0.3333333333333333
search,1,1.0,0.3333333333333333
engin,1,1.0,0.3333333333333333
optim,1,1.0,0.3333333333333333
execut,1,1.0,0.3333333333333333
larg,1,1.0,0.3333333333333333
global,1,1.0,0.3333333333333333
page,1,1.0,0.3333333333333333
order,1,1.0,0.3333333333333333
=========,==doc_ID==,==17==,=========
queri,1,1.0,0.31622776601683794
cach,1,1.0,0.31622776601683794
search,1,1.0,0.31622776601683794
engin,1,1.0,0.31622776601683794
web,1,1.0,0.31622776601683794
effici,1,1.0,0.31622776601683794
larg,1,1.0,0.31622776601683794
three,1,1.0,0.31622776601683794
level,1,1.0,0.31622776601683794
process,1,1.0,0.31622776601683794
=========,==doc_ID==,==18==,=========
prune,1,1.0,0.35355339059327373
polici,1,1.0,0.35355339059327373
invert,1,1.0,0.35355339059327373
index,1,1.0,0.35355339059327373
two,1,1.0,0.35355339059327373
tier,1,1.0,0.35355339059327373
correct,1,1.0,0.35355339059327373
guarante,1,1.0,0.35355339059327373
=========,==doc_ID==,==19==,=========
effici,1,1.0,0.4472135954999579
retriev,1,1.0,0.4472135954999579
document,1,1.0,0.4472135954999579
main,1,1.0,0.4472135954999579
memori,1,1.0,0.4472135954999579
=========,==doc_ID==,==20==,=========
queri,1,1.0,0.4082482904638631
inform,1,1.0,0.4082482904638631
retriev,1,1.0,0.4082482904638631
repeat,1,1.0,0.4082482904638631
yahoo,1,1.0,0.4082482904638631
log,1,1.0,0.4082482904638631
=========,==doc_ID==,==21==,=========
prune,1,1.0,0.4472135954999579
cach,1,1.0,0.4472135954999579
effect,1,1.0,0.4472135954999579
index,1,1.0,0.4472135954999579
dynam,1,1.0,0.4472135954999579
=========,==doc_ID==,==22==,=========
cach,1,1.0,0.3779644730092272
search,1,1.0,0.3779644730092272
engin,1,1.0,0.3779644730092272
invert,1,1.0,0.3779644730092272
compress,1,1.0,0.3779644730092272
perform,1,1.0,0.3779644730092272
list,1,1.0,0.3779644730092272
=========,==doc_ID==,==23==,=========
use,1,1.0,0.4082482904638631
compress,1,1.0,0.4082482904638631
index,1,1.0,0.4082482904638631
fix,1,1.0,0.4082482904638631
binari,1,1.0,0.4082482904638631
codeword,1,1.0,0.4082482904638631
=========,==doc_ID==,==24==,=========
compress,1,1.0,0.3779644730092272
index,1,1.0,0.3779644730092272
text,1,1.0,0.3779644730092272
improv,1,1.0,0.3779644730092272
binari,1,1.0,0.3779644730092272
word,1,1.0,0.3779644730092272
align,1,1.0,0.3779644730092272
=========,==doc_ID==,==25==,=========
inform,1,1.0,0.5773502691896258
retriev,1,1.0,0.5773502691896258
modern,1,1.0,0.5773502691896258
=========,==doc_ID==,==26==,=========
queri,1,1.0,0.3333333333333333
search,1,1.0,0.3333333333333333
engin,1,1.0,0.3333333333333333
distribut,1,1.0,0.3333333333333333
index,1,1.0,0.3333333333333333
base,1,1.0,0.3333333333333333
three,1,1.0,0.3333333333333333
level,1,1.0,0.3333333333333333
log,1,1.0,0.3333333333333333
=========,==doc_ID==,==27==,=========
invert,1,1.0,0.3333333333333333
compress,1,1.0,0.3333333333333333
index,1,1.0,0.3333333333333333
list,1,1.0,0.3333333333333333
perfect,1,1.0,0.3333333333333333
embed,1,1.0,0.3333333333333333
skip,1,1.0,0.3333333333333333
quick,1,1.0,0.3333333333333333
lookup,1,1.0,0.3333333333333333
=========,==doc_ID==,==28==,=========
compress,1,1.0,0.4082482904638631
index,1,1.0,0.4082482904638631
good,1,1.0,0.4082482904638631
especi,1,1.0,0.4082482904638631
random,1,1.0,0.4082482904638631
access,1,1.0,0.4082482904638631
=========,==doc_ID==,==29==,=========
cach,1,1.0,0.4082482904638631
algorithm,1,1.0,0.4082482904638631
cost,1,1.0,0.4082482904638631
awar,1,1.0,0.4082482904638631
www,1,1.0,0.4082482904638631
proxi,1,1.0,0.4082482904638631
=========,==doc_ID==,==30==,=========
cach,1,1.0,0.3779644730092272
compress,1,1.0,0.3779644730092272
super,1,1.0,0.3779644730092272
scalar,1,1.0,0.3779644730092272
databas,1,1.0,0.3779644730092272
ram,1,1.0,0.3779644730092272
cpu,1,1.0,0.3779644730092272
=========,==doc_ID==,==31==,=========
queri,1,1.0,0.3779644730092272
evalu,1,1.0,0.3779644730092272
inform,1,1.0,0.3779644730092272
retriev,1,1.0,0.3779644730092272
interact,1,1.0,0.3779644730092272
buffer,1,1.0,0.3779644730092272
manag,1,1.0,0.3779644730092272
=========,==doc_ID==,==32==,=========
queri,1,1.0,0.3779644730092272
cach,1,1.0,0.3779644730092272
search,1,1.0,0.3779644730092272
engin,1,1.0,0.3779644730092272
result,1,1.0,0.3779644730092272
prefetch,1,1.0,0.3779644730092272
predict,1,1.0,0.3779644730092272
=========,==doc_ID==,==33==,=========
queri,1,1.0,0.4472135954999579
cach,1,1.0,0.4472135954999579
search,1,1.0,0.4472135954999579
engin,1,1.0,0.4472135954999579
result,1,1.0,0.4472135954999579
